customer_id,full_name,email,phone,county_code,county_name,city,postal_code,crime_risk,hail_risk,flood_risk,wind_risk,fire_risk,dob
C-000001,Anamaria Gheorghiu,enecristobal@example.net,0243 819 600,TR,Teleorman,Turnu Magurele,494990,0.471,0.371,0.329,0.429,0.377,1951-01-23
C-000002,Mara Preda,jababei@example.org,0736 863 794,HR,Harghita,Miercurea Ciuc,304514,0.305,0.521,0.384,0.494,0.485,1999-10-08
C-000003,Gențiana Niță,ilariedinu@example.org,0780 511 615,BV,Brasov,Sacele,714743,0.322,0.684,0.332,0.457,0.446,2002-05-11
C-000004,Petru Georgescu,popnicoleta@example.org,0767 184 959,SJ,Salaj,Zalau,315601,0.354,0.495,0.355,0.386,0.351,1957-10-09
C-000005,Aristița Tudor,ionescubenone@example.org,0242 647 525,HD,Hunedoara,Petrosani,869571,0.332,0.491,0.287,0.446,0.421,1968-11-11
C-000006,Natașa Voinea,suciusanziana@example.org,0747 327 648,CS,Caras-Severin,Caransebes,925886,0.146,0.332,0.161,0.195,0.21,1959-08-19
C-000007,Beatrice Ene,manolelarisa@example.com,0238 395 376,AR,Arad,Arad,944245,0.351,0.427,0.321,0.359,0.35,2004-11-20
C-000008,Fabiana Georgescu,floreavlaicu@example.net,0263 969 653,BN,Bistrita-Nasaud,Bistrita,337172,0.171,0.337,0.185,0.209,0.257,1954-02-06
C-000009,Cornelia Ardelean,dinusalomea@example.org,0730 691 669,CT,Constanta,Medgidia,696967,0.41,0.226,0.692,0.647,0.373,1976-07-15
C-000010,Ludovic Aanei,voineanicoleta@example.com,0788 514 627,CT,Constanta,Mangalia,990714,0.357,0.22,0.641,0.541,0.395,1944-11-27
C-000011,Ghenadie Dochioiu,odiaconescu@example.com,0723 893 252,IS,Iasi,Pascani,958394,0.548,0.424,0.332,0.372,0.349,1981-05-23
C-000012,Pavel Manole,hababei@example.com,0269 303 911,BH,Bihor,Oradea,388611,0.421,0.374,0.341,0.427,0.378,1994-06-29
C-000013,Casiana Stan,dimaromulus@example.net,0251 489 638,CT,Constanta,Constanta,262631,0.454,0.234,0.628,0.556,0.396,1996-01-31
C-000014,Sabrina Nistor,pavelpuscasu@example.com,0245 331 509,TR,Teleorman,Alexandria,104776,0.446,0.337,0.329,0.403,0.325,1982-05-19
