customer_id,full_name,email,phone,county_code,county_name,city,postal_code,crime_risk,hail_risk,flood_risk,wind_risk,fire_risk,dist_fire_station_km,dist_hydrant_km,dist_police_km,dist_coast_km,dist_danube_km,dob
C-000001,Anamaria Gheorghiu,enecristobal@example.net,0243 819 600,TR,Teleorman,Turnu Magurele,494990,0.471,0.371,0.329,0.429,0.377,1.29,2.87,14.39,414.81,334.42,1951-01-22
C-000002,Mara Preda,jababei@example.org,0736 863 794,HR,Harghita,Miercurea Ciuc,304514,0.305,0.521,0.384,0.494,0.485,0.1,7.5,4.57,322.69,46.21,1999-10-07
C-000003,Gențiana Niță,ilariedinu@example.org,0780 511 615,BV,Brasov,Sacele,714743,0.322,0.684,0.332,0.457,0.446,0.2,2.62,2.9,307.32,338.09,2002-05-10
C-000004,Petru Georgescu,popnicoleta@example.org,0767 184 959,SJ,Salaj,Zalau,315601,0.354,0.495,0.355,0.386,0.351,0.08,5.16,9.05,446.69,318.87,1957-10-08
C-000005,Aristița Tudor,ionescubenone@example.org,0242 647 525,HD,Hunedoara,Petrosani,869571,0.332,0.491,0.287,0.446,0.421,3.73,3.38,12.69,96.03,191.59,1968-11-10
C-000006,Natașa Voinea,suciusanziana@example.org,0747 327 648,CS,Caras-Severin,Caransebes,925886,0.146,0.332,0.161,0.195,0.21,0.24,1.91,11.89,503.29,91.78,1959-08-18
C-000007,Beatrice Ene,manolelarisa@example.com,0238 395 376,AR,Arad,Arad,944245,0.351,0.427,0.321,0.359,0.35,0.63,5.11,4.6,268.14,62.43,2004-11-19
C-000008,Fabiana Georgescu,floreavlaicu@example.net,0263 969 653,BN,Bistrita-Nasaud,Bistrita,337172,0.171,0.337,0.185,0.209,0.257,0.22,1.05,2.47,317.0,104.87,1954-02-05
C-000009,Cornelia Ardelean,dinusalomea@example.org,0730 691 669,CT,Constanta,Medgidia,696967,0.41,0.226,0.692,0.647,0.373,0.09,7.5,2.24,2.21,12.86,1976-07-14
C-000010,Ludovic Aanei,voineanicoleta@example.com,0788 514 627,CT,Constanta,Mangalia,990714,0.357,0.22,0.641,0.541,0.395,0.53,4.99,1.14,23.7,2.99,1944-11-26
C-000011,Ghenadie Dochioiu,odiaconescu@example.com,0723 893 252,IS,Iasi,Pascani,958394,0.548,0.424,0.332,0.372,0.349,0.15,0.3,2.42,152.93,234.99,1981-05-22
C-000012,Pavel Manole,hababei@example.com,0269 303 911,BH,Bihor,Oradea,388611,0.421,0.374,0.341,0.427,0.378,0.41,0.74,3.27,511.49,329.05,1994-06-28
C-000013,Casiana Stan,dimaromulus@example.net,0251 489 638,CT,Constanta,Constanta,262631,0.454,0.234,0.628,0.556,0.396,0.09,3.41,8.09,16.05,8.58,1996-01-30
C-000014,Sabrina Nistor,pavelpuscasu@example.com,0245 331 509,TR,Teleorman,Alexandria,104776,0.446,0.337,0.329,0.403,0.325,0.31,7.5,5.9,391.68,353.59,1982-05-18
C-000015,Octav Ene,barbutudosia@example.net,0237 310 518,BZ,Buzau,Ramnicul Sarat,940934,0.377,0.433,0.428,0.375,0.335,0.15,3.17,0.35,441.02,245.01,1960-11-17
C-000016,Filip Eftimie,udima@example.net,0743 737 631,BZ,Buzau,Buzau,610553,0.436,0.426,0.402,0.333,0.333,0.31,2.12,11.1,228.95,372.18,1951-04-13
C-000017,Tudosia Niță,ducu01@example.org,0769 513 338,AR,Arad,Lipova,105859,0.407,0.416,0.287,0.357,0.342,0.12,1.17,1.15,89.28,70.38,1975-03-19
C-000018,Brăduț Dochioiu,malvinaflorea@example.org,0749 810 801,TM,Timis,Sannicolau Mare,778017,0.572,0.368,0.278,0.413,0.389,0.3,0.23,0.19,208.88,117.57,1995-12-18
C-000019,Gina Nistor,npopa@example.com,0237 260 647,SV,Suceava,Falticeni,273071,0.401,0.441,0.319,0.446,0.372,0.16,2.3,10.21,159.88,72.73,1964-02-04
C-000020,Marcu Tudor,mdinu@example.com,0257 098 050,AR,Arad,Lipova,822790,0.347,0.361,0.281,0.411,0.369,0.26,3.06,3.29,174.38,117.6,1948-02-05
C-000021,Gheorghiță Pușcașu,ardeleanstelian@example.org,0253 191 361,CJ,Cluj,Turda,904191,0.511,0.414,0.238,0.361,0.378,0.29,0.61,0.19,549.38,392.44,2005-04-08
C-000022,Nicoară Suciu,tabacuantonia@example.com,0720 998 543,TM,Timis,Timisoara,390774,0.569,0.417,0.298,0.356,0.354,0.29,0.1,1.33,152.68,206.81,1990-04-05
C-000023,Mariana Georgescu,elvira47@example.com,0731 107 991,GR,Giurgiu,Giurgiu,562800,0.391,0.336,0.48,0.403,0.337,0.19,2.1,11.5,250.75,13.85,1949-09-01
C-000024,Giorgian Georgescu,mazilescubartolomeu@example.org,0766 427 849,VL,Valcea,Ramnicu Valcea,687327,0.42,0.429,0.39,0.328,0.401,0.3,5.58,7.47,129.45,298.51,1999-08-10
C-000025,Manole Ioniță,dimaemanuela@example.org,0243 824 493,BH,Bihor,Alesd,942344,0.356,0.455,0.354,0.411,0.38,0.2,0.95,1.71,400.41,93.38,1993-07-08
C-000026,Lavinia Voinea,mihaelapopescu@example.com,0236 164 005,MM,Maramures,Baia Mare,615186,0.322,0.554,0.378,0.463,0.424,0.49,1.59,0.94,422.09,184.89,1997-02-27
C-000027,Teodor Georgescu,opreavincentiu@example.net,0772 801 128,TR,Teleorman,Alexandria,704107,0.404,0.392,0.405,0.349,0.336,0.2,2.52,15.68,279.33,299.98,1947-02-19
C-000028,Nicu Stancu,nitacostache@example.org,0269 505 331,IF,Ilfov,Chitila,942525,0.515,0.348,0.337,0.43,0.373,0.12,4.68,5.75,385.89,283.86,1968-10-01
C-000029,Sandu Dinu,dobredumitru@example.com,0233 256 342,AB,Alba,Alba Iulia,508885,0.357,0.516,0.321,0.418,0.4,0.12,3.73,4.37,135.34,399.67,1998-04-07
C-000030,Adelin Albu,mene@example.com,0763 433 036,PH,Prahova,Ploiesti,685111,0.439,0.448,0.258,0.323,0.335,0.74,0.89,1.7,82.82,49.11,1967-01-08
C-000031,Caterina Gheorghiu,steliannistor@example.net,0747 501 429,MS,Mures,Reghin,821332,0.323,0.552,0.26,0.436,0.451,0.76,6.96,6.56,342.36,305.72,1962-10-01
C-000032,Dida Suciu,teodora56@example.net,0758 169 340,NT,Neamt,Piatra Neamt,866017,0.336,0.535,0.34,0.419,0.452,0.35,0.55,2.19,539.76,292.54,1992-11-30
